GeneID	Chr	GeneName	Start	Stop	CodingLength	NTG.7_GeneCount	NTG.7_RPKM	NTG.8_GeneCount	NTG.8_RPKM	NTG.9_GeneCount	NTG.9_RPKM	NTG.10_GeneCount	NTG.10_RPKM	AD.16_GeneCount	AD.16_RPKM	AD.17_GeneCount	AD.17_RPKM	AD.18_GeneCount	AD.18_RPKM	AD.19_GeneCount	AD.19_RPKM	AD.20_GeneCount	AD.20_RPKM	AD.CP2.21_GeneCount	AD.CP2.21_RPKM	AD.CP2.22_GeneCount	AD.CP2.22_RPKM	AD.CP2.23_GeneCount	AD.CP2.23_RPKM	AD.CP2.24_GeneCount	AD.CP2.24_RPKM	AD.CP2.25_GeneCount	AD.CP2.25_RPKM
ENSMUSG00000088333	chr1	Gm27396	3783876	3783933	58	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	chr1	RP23-333I7.1	3905739	3986215	1364	3	0.020202991	0	0	4	0.029082718	3	0.019508314	2	0.01394912	3	0.021443262	4	0.02314156	1	0.007576492	2	0.013057975	5	0.035033291	7	0.049005279	0	0	1	0.005774748	2	0.014993332
ENSMUSG00000102948	chr1	RP23-177A20.1	4256234	4260519	1867	11	0.054130605	0	0	10	0.053128895	0	0	9	0.045868558	0	0	13	0.054958109	5	0.027681776	16	0.07633463	3	0.015359885	9	0.046040827	2	0.01110198	0	0	2	0.010956049
ENSMUSG00000025900	chr1	Rp1	4290846	4409241	9108	7	0.00706406	2	0.002525478	6	0.006537146	9	0.008770068	0	0	10	0.010711037	5	0.004334756	6	0.006812106	8	0.007827044	4	0.004199841	8	0.008392605	4	0.004553409	6	0.005192139	2	0.002246778
ENSMUSG00000104123	chr1	RP23-391E12.2	4363346	4364829	1484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	chr1	Sox17	4490931	4497354	4772	387	0.745326561	269	0.648253904	342	0.711119067	352	0.654609598	339	0.676172827	362	0.739978967	796	1.317003513	411	0.890535439	392	0.731936029	414	0.829568947	479	0.959006508	385	0.836405015	757	1.250173137	509	1.091257322
ENSMUSG00000104238	chr1	RP23-285G23.2	4496551	4499558	2917	2	0.006300453	4	0.015767361	11	0.037412355	10	0.030419064	20	0.06525205	8	0.026748962	18	0.048713857	6	0.021265068	5	0.01527085	7	0.022943324	10	0.032748559	2	0.007107094	14	0.037818863	15	0.05260255
ENSMUSG00000102269	chr1	RP23-285G23.3	4522905	4526737	2991	16	0.04915701	3	0.011533044	11	0.03648705	6	0.017800033	13	0.041364827	8	0.02608739	17	0.044869645	10	0.034565212	7	0.020850427	8	0.025572429	11	0.035132461	10	0.034656583	12	0.031614431	20	0.068402068
ENSMUSG00000096126	chr1	Gm22307	4529017	4529123	107	0	0	0	0	0	0	6	0.493126833	0	0	0	0	0	0	0	0	1	0.082519148	0	0	0	0	1	0.096011571	0	0	2	0.189499061
ENSMUSG00000103003	chr1	RP23-285G23.4	4534837	4535286	450	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.039521366	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	chr1	RP23-37D15.1	4583129	4586252	2773	4	0.013255027	0	0	0	0	0	0	0	0	0	0	2	0.005693625	0	0	2	0.006425428	0	0	0	0	1	0.003738014	0	0	2	0.007377757
ENSMUSG00000102735	chr1	RP23-37D15.2	4610471	4611406	936	0	0	0	0	0	0	3	0.028419263	1	0.010160378	0	0	2	0.016856046	0	0	2	0.019022557	3	0.030621414	0	0	0	0	2	0.016825041	0	0
ENSMUSG00000098104	chr1	Gm6085	4687934	4689403	1470	18	0.112483002	3	0.023458102	20	0.134935112	12	0.072410194	24	0.155327381	20	0.13265376	30	0.161054878	10	0.070305313	10	0.060585099	17	0.110529913	15	0.097444215	16	0.112785857	13	0.069662074	14	0.097390408
ENSMUSG00000102175	chr1	RP23-34E15.2	4692219	4693424	1206	0	0	1	0.009529652	2	0.016444867	3	0.022062012	1	0.007887551	0	0	8	0.052341723	0	0	0	0	2	0.015847702	1	0.007917174	0	0	1	0.006530681	0	0
ENSMUSG00000088000	chr1	Gm25493	4723277	4723379	103	0	0	2	0.221197876	0	0	2	0.17069775	0	0	0	0	5	0.379666226	3	0.298324372	2	0.171385924	4	0.367849552	0	0	1	0.099704324	0	0	0	0
ENSMUSG00000103265	chr1	RP23-34E15.3	4735046	4735676	631	6	0.087269249	0	0	1	0.015703287	0	0	0	0	0	0	0	0	2	0.032727568	0	0	2	0.030266102	0	0	0	0	0	0	1	0.016191376
ENSMUSG00000103922	chr1	RP23-34E15.4	4771131	4772199	1069	360	3.092756944	254	2.73045004	293	2.717637298	330	2.737545221	263	2.340029978	274	2.498440578	346	2.553627938	281	2.715959952	350	2.915162439	283	2.529567296	261	2.330956695	222	2.151377042	428	3.15301262	198	1.893573797
ENSMUSG00000033845	chr1	Mrpl15	4773206	4785739	8487	2143	2.320832875	1598	2.165487592	1927	2.253118303	2005	2.09671859	2215	2.484378774	2208	2.538025247	2714	2.52504878	1996	2.431957525	2009	2.109371427	2146	2.418064754	2119	2.385629856	1741	2.126868961	2321	2.155437763	1756	2.116995638
ENSMUSG00000102275	chr1	RP23-34E15.5	4778063	4779212	1150	21	0.167714665	16	0.159892817	38	0.32765434	32	0.246777633	58	0.479735791	56	0.474695312	85	0.583188434	66	0.593020124	41	0.317458548	68	0.565037366	53	0.440025679	16	0.144142481	48	0.328724166	43	0.382290895
ENSMUSG00000025903	chr1	Lypla1	4807788	4848410	7145	2979	3.832079929	2447	3.938721312	2391	3.32065851	2912	3.617091529	2366	3.152108651	2711	3.701423223	3721	4.112083815	2454	3.551504473	2969	3.702760982	2724	3.645756605	2916	3.899437674	2591	3.759687377	3426	3.779114623	2495	3.572797161
ENSMUSG00000104217	chr1	RP24-426M1.3	4807892	4886770	825	1935	21.53416268	1370	19.07764729	1540	18.50326315	1872	20.11670915	1724	19.87040251	1977	23.352257	2183	20.87079481	1524	19.08120244	1816	19.59360235	1702	19.7071167	1742	20.15327257	1698	21.31596369	2292	21.8725936	1599	19.80930501
ENSMUSG00000033813	chr1	Tcea1	4857814	4897909	3017	7525	22.91998539	5722	21.80785312	6146	20.21068216	7128	20.96426281	7444	23.48208087	7685	24.84430637	9282	24.28776928	6231	21.35203808	7464	22.04097938	6665	21.12148739	6865	21.73695877	6432	22.09907691	8488	22.16929351	6040	20.47946117
ENSMUSG00000062588	chr1	Gm6104	4880049	4880651	603	102	1.55235234	81	1.542525584	86	1.413087857	93	1.366712447	160	2.521926902	82	1.324582928	110	1.438205835	84	1.438279091	84	1.23942668	86	1.361774171	90	1.42391166	103	1.768266093	105	1.370307637	81	1.372299493
ENSMUSG00000103280	chr1	RP24-426M1.4	4905751	4906861	1111	107	0.884516743	116	1.199879124	145	1.294109027	148	1.181375794	205	1.755086494	156	1.36874344	202	1.434537423	146	1.357840906	147	1.178124101	203	1.745962174	177	1.52105863	181	1.687800537	222	1.573670867	145	1.334332418
ENSMUSG00000002459	chr1	Rgs20	4909576	5070285	4239	1394	3.022205452	1161	3.149565602	1378	3.225455189	1582	3.311858417	2359	5.296775118	1345	3.094985847	1642	3.058247266	1482	3.614790786	1512	3.17807709	1578	3.559464962	1632	3.678169792	1407	3.44092791	1798	3.342639559	1228	2.963693808
ENSMUSG00000091305	chr1	Gm17100	4927028	4927299	272	2	0.067343303	0	0	4	0.14541359	3	0.097541571	6	0.209236793	0	0	2	0.057853901	2	0.07576492	0	0	4	0.140133163	0	0	3	0.113947799	2	0.057747484	6	0.224899985
ENSMUSG00000102653	chr1	RP24-141F9.2	4938576	4940710	2135	14	0.060249557	12	0.064619604	10	0.04646291	6	0.024933379	15	0.066855857	2	0.009135472	9	0.033274119	11	0.053258908	14	0.058412431	7	0.031342986	10	0.044737965	4	0.019418071	8	0.02952259	14	0.067069892
ENSMUSG00000085623	chr1	Gm16041	4970857	4976820	3725	23	0.056742969	34	0.104959164	38	0.10121582	21	0.05002736	31	0.079207863	24	0.062844986	23	0.048747269	32	0.088819423	22	0.052620906	18	0.046203325	18	0.046164393	13	0.036178273	25	0.052888698	40	0.109854528
ENSMUSG00000091665	chr1	Gm17101	5063060	5064647	1588	2	0.011569995	2	0.014477394	2	0.012491476	0	0	2	0.011982724	0	0	2	0.009939657	0	0	0	0	2	0.012037871	0	0	2	0.01305129	0	0	0	0
ENSMUSG00000033793	chr1	Atp6v1h	5070018	5162529	9746	15763	14.86602905	12623	14.8962143	13042	13.27947426	15091	13.74289387	14567	14.22815555	15732	15.74763033	18414	14.91909477	12797	13.57806938	14665	13.40879016	13134	12.88752812	14001	13.72668176	13273	14.12034999	17114	13.84032471	11543	12.11849121
ENSMUSG00000104352	chr1	RP23-267J18.2	5276106	5277337	732	0	0	0	0	0	0	2	0.024219053	1	0.012988096	0	0	0	0	1	0.01410902	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	chr1	RP23-267J18.1	5307739	5310017	2279	244	0.983743888	195	0.983748447	229	0.996800592	238	0.926559365	177	0.739073907	188	0.804498506	267	0.924786996	182	0.825538554	190	0.742672336	218	0.91446108	234	0.980750382	168	0.764049979	226	0.781338654	212	0.95148476
ENSMUSG00000102907	chr1	RP23-335P21.1	5403547	5405578	2032	0	0	0	0	2	0.009763382	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0.003877291	0	0
ENSMUSG00000025905	chr1	Oprk1	5588466	5606131	9151	499	0.501200623	444	0.558021914	487	0.528105392	866	0.839910519	2523	2.624524852	820	0.874178419	970	0.836991452	653	0.737900814	588	0.57258479	845	0.883047931	807	0.842626278	775	0.878077854	871	0.750184111	640	0.715590861
ENSMUSG00000103936	chr1	RP23-238E7.2	5617837	5618230	394	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	chr1	Gm22463	5644645	5644745	101	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	chr1	RP23-354J2.1	5842874	5844672	1799	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	chr1	Npbwr1	5913707	5917398	3692	157	0.390793573	152	0.473422153	121	0.325172428	218	0.523972297	101	0.260370344	120	0.317032787	299	0.639377252	190	0.532077768	208	0.501952383	202	0.523137246	211	0.545984889	182	0.511021784	302	0.64460453	184	0.509846378
ENSMUSG00000103090	chr1	RP23-74E8.1	6048963	6050045	1083	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	chr1	Rb1cc1	6206197	6276648	14690	11800	7.383422423	9161	7.17258692	9746	6.583892027	12061	7.287240428	10681	6.921655925	11119	7.384423763	13372	7.188037087	9307	6.551778019	11317	6.865283091	10367	6.749091557	10785	7.015300296	9991	7.051880324	14039	7.5326976	10548	7.347161478
ENSMUSG00000090031	chr1	4732440D04Rik	6209866	6215293	5428	737	1.247885429	478	1.012726911	629	1.149842761	721	1.178817468	659	1.155619931	716	1.286753684	845	1.229142307	653	1.243924894	726	1.191777747	530	0.933683336	746	1.313095948	629	1.201373746	788	1.14412136	662	1.24778273
ENSMUSG00000087247	chr1	Fam150a	6359218	6394731	971	0	0	1	0.011833631	2	0.020420736	0	0	2	0.019589041	0	0	0	0	2	0.021279653	0	0	2	0.019679194	3	0.029493918	6	0.064007714	0	0	3	0.031583177
ENSMUSG00000103355	chr1	RP23-76C20.3	6380394	6381032	639	19	0.272898215	17	0.305529566	11	0.170576957	13	0.180299498	14	0.208255995	23	0.350630832	28	0.345496266	21	0.339343973	18	0.250651913	21	0.313821649	17	0.25383203	15	0.24302929	17	0.209379744	17	0.271812716
ENSMUSG00000102706	chr1	RP23-76C20.2	6382634	6383106	473	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	chr1	RP23-76C20.4	6429655	6441296	4530	254	0.515307807	235	0.596565447	219	0.47968673	265	0.519138158	260	0.5462969	294	0.633075502	351	0.611756165	290	0.66191886	282	0.554668547	285	0.601581369	264	0.556784761	221	0.505761242	346	0.601932447	250	0.564607664
ENSMUSG00000033740	chr1	St18	6487231	6860940	6464	2452	3.48641438	1188	2.11364578	1481	2.27349593	1821	2.500187366	1079	1.588921223	1559	2.352771906	2266	2.767940029	1531	2.449105429	1481	2.041573511	1895	2.80339481	1608	2.376812871	1228	1.969596078	2089	2.547039197	1647	2.606909127
ENSMUSG00000103329	chr1	RP23-299N6.2	6861237	6864151	2915	173	0.545362976	60	0.236672624	90	0.306311034	71	0.216123488	57	0.186095892	89	0.297786309	87	0.235611798	86	0.305008366	66	0.201713474	60	0.196791942	59	0.193349017	52	0.184911175	115	0.310868014	68	0.238628447
ENSMUSG00000104385	chr1	RP23-299N6.1	6910560	6911222	663	0	0	1	0.017322725	0	0	0	0	0	0	0	0	1	0.011893159	0	0	1	0.013421789	1	0.014403748	0	0	0	0	0	0	0	0
ENSMUSG00000102135	chr1	RP23-5K7.4	6916559	6923588	626	22	0.32253898	44	0.807178213	15	0.237427692	5	0.070783756	54	0.819927909	9	0.140048096	6	0.075569928	18	0.296896983	4	0.056855298	47	0.716925284	47	0.71632118	51	0.843431794	4	0.050287283	3	0.04896148
ENSMUSG00000103282	chr1	RP23-76C20.5	6929759	6929788	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	chr1	RP23-5K7.3	6998217	6998541	325	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	chr1	RP23-5K7.2	7013762	7013920	159	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	chr1	RP23-5K7.1	7035915	7037217	641	0	0	0	0	0	0	1	0.013825986	3	0.044487262	0	0	1	0.012300713	1	0.016108897	0	0	2	0.029794668	0	0	0	0	4	0.049112346	0	0
ENSMUSG00000051285	chr1	Pcmtd1	7088920	7173628	6654	12571	17.3639623	8930	15.43432691	10102	15.06492438	11697	15.60118439	12250	17.52417088	12246	17.95347143	15044	17.85174049	10778	16.74907931	12038	16.12073252	11429	16.42493853	11707	16.81028335	10204	15.89899685	14487	17.15916372	10442	16.05596644
ENSMUSG00000098201	chr1	Gm26983	7136199	7136586	388	3	0.070892244	3	0.088706603	6	0.153076774	2	0.045636416	6	0.146842273	4	0.1003258	0	0	7	0.186101236	4	0.091640802	8	0.196690763	2	0.049131256	2	0.053312338	0	0	2	0.052611565
ENSMUSG00000103509	chr1	WI1-817D1.2	7148110	7152137	4028	646	1.473880653	382	1.090562076	605	1.490272745	507	1.11697083	741	1.75093648	422	1.021921234	435	0.852623483	461	1.183326192	561	1.240920865	589	1.398175241	669	1.586742031	420	1.080934445	757	1.481031617	823	2.090274827
ENSMUSG00000048538	chr1	Gm9826	7177739	7179037	1299	13	0.091923609	7	0.061935405	14	0.106878989	20	0.1365582	11	0.080556165	16	0.120082265	37	0.224762406	21	0.167061648	15	0.102831554	20	0.147139821	12	0.088209502	30	0.239290378	17	0.103079259	15	0.118072492
ENSMUSG00000103709	chr1	Nras-ps2	7189742	7189919	178	0	0	0	0	0	0	0	0	0	0	1	0.054506615	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.114334629
ENSMUSG00000077244	chr1	Gm23274	7265803	7265932	130	0	0	0	0	0	0	0	0	0	0	1	0.074478504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	chr1	RP23-278C19.1	7315451	7316462	1012	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.020418384	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	chr1	Gm26901	7349406	7397869	4339	46	0.097430554	26	0.068907725	47	0.107477061	41	0.083854286	59	0.129423081	53	0.119148445	60	0.10917591	50	0.119146447	60	0.123208314	55	0.121203885	68	0.149725806	42	0.100347578	60	0.108975091	34	0.080165962
ENSMUSG00000103498	chr1	RP24-263A16.2	7410679	7411993	1124	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	chr1	RP24-181G14.2	7497968	7518149	2596	6	0.021237646	4	0.017716272	3	0.011464549	3	0.010253696	4	0.014663495	4	0.015027623	6	0.018245031	11	0.043804785	3	0.010295034	4	0.014730979	2	0.007359283	5	0.0199639	3	0.009105735	4	0.015761185
ENSMUSG00000102320	chr1	RP24-181G14.1	7591646	7591931	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	chr1	RP23-404K2.2	7597379	7599473	2095	2	0.008771337	2	0.010975467	2	0.009469921	5	0.021174339	6	0.027252693	1	0.004654907	6	0.022606081	0	0	2	0.008503882	3	0.013689058	4	0.018236697	6	0.029682967	3	0.011282249	1	0.004882132
ENSMUSG00000103903	chr1	RP23-404K2.1	7664081	7664961	881	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0.023203967
ENSMUSG00000103557	chr1	RP23-408B17.1	7728861	7730565	1214	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	chr1	Sntg1	8361475	9299878	10908	2371	1.997899691	2250	2.372366987	2455	2.233439571	2525	2.054506788	2748	2.39817702	2845	2.544483088	3193	2.311422182	2297	2.177593808	2682	2.191050184	2668	2.339076703	2490	2.181181878	2452	2.330681115	3258	2.354137666	2386	2.238135213
ENSMUSG00000102647	chr1	RP23-241G23.1	8450960	8453491	2532	17	0.061693697	1	0.004540975	15	0.058771087	12	0.042051084	7	0.026309482	4	0.015407318	6	0.018706019	6	0.024497224	9	0.031665461	10	0.037757949	9	0.033953519	4	0.016374654	13	0.040455156	25	0.100996341
ENSMUSG00000086235	chr1	Gm16284	8468426	8468825	400	10	0.229235933	10	0.286840138	10	0.247493205	17	0.376301274	14	0.332378645	8	0.194647063	9	0.177240692	8	0.206322425	12	0.266695303	18	0.4293107	11	0.262135469	6	0.155150868	13	0.255543417	11	0.280704345
ENSMUSG00000102253	chr1	RP23-311L17.1	8527780	8531313	3534	14	0.03640539	6	0.019522981	16	0.044919842	14	0.035153596	2	0.005386294	0	0	8	0.0178717	4	0.011702305	6	0.015126565	1	0.002705541	6	0.016219569	4	0.011733239	8	0.017838827	3	0.008684257
ENSMUSG00000093970	chr1	Gm23358	8588615	8588724	110	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	chr1	RP24-442E5.1	8643696	8644859	1164	4	0.031561754	3	0.02961963	0	0	0	0	6	0.049031454	0	0	0	0	4	0.035508709	0	0	0	0	0	0	4	0.035602574	4	0.027064486	1	0.008783648
ENSMUSG00000084353	chr1	Gm15452	8791923	8792162	240	4	0.152570306	9	0.429546082	8	0.329443237	7	0.257817348	10	0.395032119	12	0.485809992	4	0.131071494	5	0.214562481	5	0.184897677	3	0.119055042	9	0.356864167	5	0.215129662	4	0.130830399	6	0.254762223
ENSMUSG00000103933	chr1	RP23-397E23.1	8815842	8816039	198	0	0	1	0.05780045	1	0.049871746	0	0	0	0	2	0.098057126	0	0	3	0.155908215	0	0	2	0.096121491	1	0.048020248	0	0	0	0	2	0.102843712
ENSMUSG00000076135	chr1	Gm24276	8816138	8816247	110	2	0.165628125	0	0	25	2.235242681	25	1.999162835	9	0.771914113	7	0.615286379	28	1.99205054	17	1.583896365	2	0.160577802	20	1.723259165	21	1.807897447	2	0.186833328	8	0.568110382	4	0.36875493
ENSMUSG00000086195	chr1	Gm6152	8855928	8856267	340	0	0	0	0	0	0	0	0	0	0	1	0.028611977	1	0.023158526	0	0	0	0	0	0	0	0	0	0	0	0	1	0.030008649
ENSMUSG00000104504	chr1	RP23-200C17.1	8856763	8857102	340	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	chr1	Gm7493	8962996	8963621	626	3	0.043982588	1	0.018344959	1	0.015828513	0	0	4	0.060735401	0	0	3	0.037784964	1	0.016494277	0	0	1	0.015253729	3	0.045722629	3	0.049613635	0	0	7	0.114243453
ENSMUSG00000102316	chr1	RP23-331M15.1	9191067	9192116	1050	2	0.017492599	1	0.010944139	3	0.02832867	0	0	4	0.036233203	4	0.037132955	6	0.045083107	6	0.059040409	8	0.067836864	1	0.009099989	2	0.018184642	0	0	7	0.05250021	2	0.019472787
ENSMUSG00000103819	chr1	RP23-331M15.2	9258617	9259134	518	0	0	4	0.08864963	0	0	0	0	0	0	4	0.075196023	2	0.030431821	0	0	2	0.034343229	0	0	4	0.073649552	2	0.039958573	0	0	0	0
ENSMUSG00000102871	chr1	RP23-411P10.1	9286922	9290180	3259	6	0.016918456	10	0.035283097	28	0.085240911	29	0.0789608	11	0.032123624	5	0.014964239	10	0.024224103	14	0.044413117	12	0.032805158	14	0.041072772	8	0.023450379	7	0.02226526	18	0.04352318	8	0.025111532
ENSMUSG00000101571	chr1	RP23-411P10.5	9396773	9398687	960	0	0	0	0	1	0.01032724	2	0.018473014	0	0	0	0	0	0	1	0.010761615	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	chr1	RP23-411P10.3	9439741	9440376	636	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	chr1	RP23-411P10.2	9450579	9451748	1170	2	0.015700019	0	0	1	0.008475216	1	0.007580088	0	0	0	0	3	0.020231573	0	0	4	0.030442589	0	0	1	0.008160572	0	0	2	0.013462906	1	0.008738642
ENSMUSG00000065625	chr1	Gm24765	9458670	9458772	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	chr1	RP24-361E12.1	9499338	9501522	1406	2	0.013066611	2	0.016350092	0	0	1	0.006308659	2	0.013532728	7	0.048540717	2	0.011225384	3	0.022050984	5	0.031670462	0	0	4	0.027167106	3	0.022109274	2	0.011204736	2	0.01454577
ENSMUSG00000061024	chr1	Rrs1	9545408	9547455	2048	1542	6.917823589	1370	7.69064747	1577	7.638311872	1755	7.602672838	1584	7.359743341	1626	7.74249302	2306	8.887562024	1531	7.727411712	1703	7.407150734	1703	7.94906905	1632	7.611244469	1610	8.147629102	2001	7.697874882	1376	6.871907391
ENSMUSG00000025911	chr1	Adhfe1	9547948	9580673	3780	1754	4.264321885	1244	3.784408406	1443	3.787627887	1522	3.573050174	1200	3.021509883	1416	3.653918158	1793	3.744888678	1323	3.618711715	1299	3.061829244	1326	3.354134136	1417	3.581299551	1187	3.255302672	1657	3.454470981	1235	3.342420627
