Gene,transcript_length,NTG-7,NTG-8,NTG-9,NTG-10,AD-16,AD-17,AD-18,AD-19,AD-20,AD-CP2-21,AD-CP2-22,AD-CP2-23,AD-CP2-24,AD-CP2-25
Npbwr1,3692,157,152,121,218,101,120,299,190,208,202,211,182,302,184
RP23-74E8.1,1083,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rb1cc1,14690,11800,9161,9746,12061,10681,11119,13372,9307,11317,10367,10785,9991,14039,10548
4732440D04Rik,5428,737,478,629,721,659,716,845,653,726,530,746,629,788,662
Fam150a,971,0,1,2,0,2,0,0,2,0,2,3,6,0,3
RP23-76C20.3,639,19,17,11,13,14,23,28,21,18,21,17,15,17,17
RP23-76C20.2,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-76C20.4,4530,254,235,219,265,260,294,351,290,282,285,264,221,346,250
St18,6464,2452,1188,1481,1821,1079,1559,2266,1531,1481,1895,1608,1228,2089,1647
RP23-299N6.2,2915,173,60,90,71,57,89,87,86,66,60,59,52,115,68
RP23-299N6.1,663,0,1,0,0,0,0,1,0,1,1,0,0,0,0
RP23-5K7.4,626,22,44,15,5,54,9,6,18,4,47,47,51,4,3
RP23-76C20.5,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.3,325,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.2,159,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-5K7.1,641,0,0,0,1,3,0,1,1,0,2,0,0,4,0
Pcmtd1,6654,12571,8930,10102,11697,12250,12246,15044,10778,12038,11429,11707,10204,14487,10442
Gm26983,388,3,3,6,2,6,4,0,7,4,8,2,2,0,2
WI1-817D1.2,4028,646,382,605,507,741,422,435,461,561,589,669,420,757,823
Gm9826,1299,13,7,14,20,11,16,37,21,15,20,12,30,17,15
Nras-ps2,178,0,0,0,0,0,1,0,0,0,0,0,0,0,2
Gm23274,130,0,0,0,0,0,1,0,0,0,0,0,0,0,0
RP23-278C19.1,1012,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm26901,4339,46,26,47,41,59,53,60,50,60,55,68,42,60,34
RP24-263A16.2,1124,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-181G14.2,2596,6,4,3,3,4,4,6,11,3,4,2,5,3,4
RP24-181G14.1,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-404K2.2,2095,2,2,2,5,6,1,6,0,2,3,4,6,3,1
RP23-404K2.1,881,0,0,0,0,0,0,0,0,0,0,0,0,0,2
RP23-408B17.1,1214,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sntg1,10908,2371,2250,2455,2525,2748,2845,3193,2297,2682,2668,2490,2452,3258,2386
RP23-241G23.1,2532,17,1,15,12,7,4,6,6,9,10,9,4,13,25
Gm16284,400,10,10,10,17,14,8,9,8,12,18,11,6,13,11
RP23-311L17.1,3534,14,6,16,14,2,0,8,4,6,1,6,4,8,3
Gm23358,110,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-442E5.1,1164,4,3,0,0,6,0,0,4,0,0,0,4,4,1
Gm15452,240,4,9,8,7,10,12,4,5,5,3,9,5,4,6
RP23-397E23.1,198,0,1,1,0,0,2,0,3,0,2,1,0,0,2
Gm24276,110,2,0,25,25,9,7,28,17,2,20,21,2,8,4
Gm6152,340,0,0,0,0,0,1,1,0,0,0,0,0,0,1
RP23-200C17.1,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm7493,626,3,1,1,0,4,0,3,1,0,1,3,3,0,7
RP23-331M15.1,1050,2,1,3,0,4,4,6,6,8,1,2,0,7,2
RP23-331M15.2,518,0,4,0,0,0,4,2,0,2,0,4,2,0,0
RP23-411P10.1,3259,6,10,28,29,11,5,10,14,12,14,8,7,18,8
RP23-411P10.5,960,0,0,1,2,0,0,0,1,0,0,0,0,0,0
RP23-411P10.3,636,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-411P10.2,1170,2,0,1,1,0,0,3,0,4,0,1,0,2,1
Gm24765,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-361E12.1,1406,2,2,0,1,2,7,2,3,5,0,4,3,2,2
Rrs1,2048,1542,1370,1577,1755,1584,1626,2306,1531,1703,1703,1632,1610,2001,1376
Adhfe1,3780,1754,1244,1443,1522,1200,1416,1793,1323,1299,1326,1417,1187,1657,1235
2610203C22Rik,4910,1808,1597,1756,1832,1956,2217,1887,1308,2192,1436,1431,1491,2649,1893
Gm6161,1102,3,3,4,3,1,3,4,3,6,3,9,3,6,3
3110035E14Rik,3256,15460,14957,16818,16658,20463,21339,19899,12379,22123,15463,14803,14488,25163,16940
Gm29520,1067,0,2,0,2,0,0,0,0,0,2,0,0,0,0
Mybl1,5402,588,374,430,503,547,440,768,516,447,553,510,471,526,542
Vcpip1,9749,9251,6998,7913,9926,8228,8550,10508,7043,9205,8470,8103,8009,11763,9429
1700034P13Rik,3051,1134,796,954,1202,878,1111,1072,858,997,952,1001,1003,1406,1196
Sgk3,14311,1509,999,989,1379,1758,1439,1429,1114,1473,1198,1285,1027,1510,1416
Gm6195,357,12,9,8,9,14,15,16,15,18,10,7,9,16,5
Gm22607,105,0,1,2,1,0,0,3,1,0,0,2,0,0,0
Mcmdc2,5916,292,159,246,229,145,158,169,131,256,174,146,130,130,233
Snhg6,1146,905,550,647,744,570,545,653,345,628,520,446,501,528,537
Snord87,87,18,1,9,4,6,17,3,6,4,3,11,6,10,2
Tcf24,4193,66,46,75,56,77,94,154,93,100,91,109,78,116,65
RP23-228G18.3,1374,8,11,11,12,9,7,13,17,8,8,1,12,16,8
Ppp1r42,1523,25,33,16,31,32,33,36,18,24,22,28,14,40,28
Gm15818,656,0,2,2,0,2,1,0,4,0,2,4,2,0,2
Gm24674,104,2,0,1,4,1,0,2,0,0,2,1,0,4,3
Cops5,3766,6564,4759,4923,5447,4998,5969,7356,5027,5343,5060,5252,5140,6050,4568
Cspp1,17553,2164,1476,2002,1993,2308,2082,2413,1997,2186,2293,2158,1645,2682,2241
RP23-228G18.5,920,4,0,4,0,4,4,2,5,1,8,4,4,11,2
RP23-228G18.6,1822,103,69,120,56,100,83,90,95,59,89,63,51,146,132
Arfgef1,11318,10367,8453,9041,12082,10705,11148,13320,9247,11598,10442,10390,9747,14448,10761
Gm26348,240,9,2,12,5,3,1,4,6,9,1,7,6,9,12
RP24-327F2.1,1722,20,17,7,11,12,13,8,10,4,10,6,6,16,7
Cpa6,6840,34,29,52,29,38,30,59,50,37,29,24,30,29,40
RP23-418C16.1,2745,0,2,2,0,0,0,0,0,0,0,0,0,0,0
Gm15604,1456,6,0,5,3,1,1,4,1,1,0,9,1,0,1
Gm25253,107,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15603,492,0,0,0,1,0,1,0,0,0,0,0,0,1,2
RP24-88A10.2,1922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5522,1242,24,5,10,17,15,13,29,13,21,8,12,11,8,11
Gm28659,759,0,0,0,0,0,0,4,0,0,0,0,1,0,0
Gm22963,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prex2,16609,9531,6585,7691,10234,6944,6139,7406,6751,7342,7723,7713,6890,10558,7588
Gm24173,128,0,2,0,0,0,0,4,0,0,0,0,2,0,0
Gm28686,609,0,2,4,2,2,1,4,2,0,0,4,0,0,6
RP23-366M5.2,3039,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A830018L16Rik,9183,8030,6310,6636,7682,6985,6808,7615,5396,7252,5934,5903,5860,8781,6772
RP23-2K13.1,2471,17,5,9,13,14,2,4,15,9,20,8,19,7,12
Gm29273,262,0,6,0,0,2,0,0,0,1,0,0,2,4,0
RP24-239K20.1,2144,2,0,1,5,0,0,7,2,8,3,2,3,4,2
Gm7560,873,1,2,0,2,1,0,2,3,1,0,4,0,1,1
Gm22633,107,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Mir6341,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm2383,807,1,1,3,1,2,0,0,0,2,0,1,1,1,2
Gm6216,687,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17644,3200,0,0,1,1,2,0,1,3,0,1,0,2,4,2
Gm29663,853,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sulf1,11294,1632,1495,908,2483,3085,3220,3059,2003,2813,2684,2969,1639,2976,2378
Slco5a1,13137,195,145,207,178,633,193,226,199,199,222,202,182,247,232
RP24-178B14.2,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5250,321,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29283,288,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prdm14,2564,0,0,0,0,0,2,0,2,0,2,2,0,0,0
Ncoa2,15642,9273,7920,9242,11588,10282,9236,11333,8643,10778,9694,9354,8704,13081,10275
RP23-93D12.2,2253,29,20,15,24,22,9,17,18,15,30,17,8,21,22
RP23-93D12.1,1626,20,6,18,10,13,4,14,13,19,13,9,7,16,14
Gm27881,82,2,0,0,0,2,1,0,0,5,0,3,2,0,0
RP23-125I14.4,695,9,2,4,6,2,0,0,0,2,2,4,2,2,7
RP23-125I14.3,1872,35,16,24,9,7,8,2,10,20,5,2,0,15,16
Gm23169,112,8,0,2,0,0,1,2,3,0,1,0,0,3,0
RP23-125I14.2,4642,116,52,92,42,51,36,33,46,62,28,30,35,58,112
RP23-125I14.1,2248,38,27,42,49,18,18,24,39,38,37,14,11,35,60
Gm29570,681,3,2,0,7,5,2,4,5,2,10,5,2,8,0
Gm7593,644,1,1,0,0,3,0,0,0,1,0,0,0,1,0
Tram1,3162,2617,2108,2238,2710,2714,3196,4253,3075,3182,3333,3387,2431,3323,2517
Lactb2,4566,1738,1235,1416,1629,1446,1537,2126,1607,1794,1630,1670,1473,1999,1481
RP23-70F22.2,1266,51,30,46,33,53,33,46,75,41,46,34,43,57,53
Xkr9,1926,3,0,0,1,0,0,0,3,0,0,1,0,0,4
Gm26273,131,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5523,997,12,6,3,5,4,8,3,10,0,6,3,6,12,10
RP23-74B7.1,2249,0,0,0,2,0,0,2,2,0,4,2,0,2,0
Gm25491,308,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-335B5.1,3605,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Eya1,7808,886,837,854,1074,935,1158,1293,927,998,1027,1030,737,1204,807
Gm22616,100,1,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-291C20.1,439,0,2,2,0,2,0,3,7,0,0,4,0,0,1
Gm9947,3566,109,106,98,134,77,137,156,86,96,83,114,92,159,94
Msc,2546,116,124,117,169,111,157,164,112,97,100,134,119,170,142
RP23-398C14.1,4321,39,52,60,61,38,48,62,28,59,55,50,31,72,81
Smt3h2-ps4,288,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Rpl5-ps1,894,0,2,4,1,0,1,1,4,0,0,1,1,1,1
Trpa1,4263,59,62,37,47,23,45,70,39,35,32,36,49,64,51
Gm26345,120,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Gm10566,996,0,0,0,1,2,2,0,1,1,0,0,0,2,0
Kcnb2,15165,2735,2356,2846,2931,2214,2271,2913,2062,2811,2460,2416,2507,3318,2624
RP23-445B17.1,1533,4,5,5,4,11,6,7,16,6,5,6,3,6,11
RP24-66C10.4,2089,184,155,163,153,175,140,161,180,181,200,134,127,187,199
Gm25227,112,0,0,0,0,2,0,0,0,0,0,0,0,1,0
Gm25168,132,0,0,0,0,0,0,0,0,0,0,1,0,0,0
Gm6060,251,0,2,0,0,1,0,0,0,0,0,0,0,0,2
Gm28669,100,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Terf1,4608,803,558,642,681,627,727,907,645,745,711,682,593,786,704
RP23-325F17.4,3169,167,127,117,198,90,104,133,93,118,101,126,107,158,166
Sbspon,2748,165,114,118,183,93,127,137,92,111,99,124,108,157,152
Gm23259,303,0,1,0,0,0,0,0,0,0,1,0,0,2,0
Gm7634,553,0,0,0,0,0,0,0,0,0,0,0,0,0,3
4930444P10Rik,2063,38,23,15,26,27,26,31,17,43,30,37,24,45,29
Rpl7,2687,18039,12571,13428,13972,15741,17296,20938,16083,15169,14623,16020,13798,15327,11484
Rdh10,4160,860,746,839,996,994,872,1085,967,982,1011,958,753,1036,919
RP24-178O17.2,2321,12,9,12,14,8,10,15,17,14,20,10,24,29,8
Gm28095,1515,16,4,12,12,7,8,38,8,14,7,6,2,16,14
Stau2,6747,11104,8990,11262,12004,11825,12555,15796,10710,11649,11568,11886,10510,14375,10441
Gm7568,1003,4,3,6,6,5,8,10,15,7,7,4,4,8,8
Ube2w,4930,4790,3812,4070,4559,4712,4960,5166,3674,4277,4161,4504,3866,5389,3633
RP23-382H8.2,2980,193,175,178,185,243,191,204,154,173,171,202,179,234,169
Tceb1,3026,9303,7571,7717,8637,8153,8501,10414,7183,7386,7961,7826,7256,9197,6450
D030040B21Rik,2788,0,0,6,1,1,0,0,2,0,0,0,0,0,2
Gm7654,683,0,0,0,0,0,0,2,0,0,0,0,0,0,0
Tmem70,1820,3437,2463,2405,3115,2113,2460,2958,2084,2399,2194,2268,2396,2917,2269
Ly96,1021,44,32,27,36,33,50,56,40,45,60,65,34,72,53
Gm29649,419,0,0,0,0,0,0,0,1,0,3,0,0,0,0
Gm5828,1860,139,22,80,40,173,79,105,110,153,129,104,91,51,80
Gm28376,176,71,86,74,99,65,66,102,58,89,79,68,63,107,80
RP24-254D14.1,827,1,0,2,2,0,0,0,0,0,0,0,0,0,2
Jph1,4998,2208,1738,2211,2380,1808,2127,2408,1689,2145,1964,2006,1544,2383,1905
Gm28783,359,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gdap1,7731,11538,8652,9748,12179,9875,11541,13913,9191,10799,10752,10722,9991,13721,10245
Gm28784,1011,15,2,6,7,16,9,12,15,17,8,12,6,14,9
Gm28785,379,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5251,472,2,0,2,2,1,0,0,3,1,0,5,5,8,1
Rbm6-ps1,2870,23,14,30,30,19,35,38,28,27,30,33,23,46,21
Gm6075,486,3,0,1,3,0,1,0,1,0,0,0,0,2,0
Gm25166,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pi15,6923,108,97,79,97,59,153,229,178,62,150,158,84,156,100
Gm28154,4218,51,27,29,63,60,44,51,56,36,46,48,25,60,53
Gm16070,8345,116,85,119,149,99,123,95,96,86,111,111,77,166,97
Crispld1,4515,579,430,595,581,489,507,577,459,593,437,457,422,773,580
Gm28153,629,9,10,12,13,12,9,15,20,10,20,4,9,17,13
Gm7690,1399,5,4,4,9,14,0,3,3,10,0,5,2,6,6
Gm18775,586,53,37,37,38,60,40,40,42,50,29,50,33,47,50
Gm17969,2557,28,25,36,26,30,41,34,31,17,23,31,19,26,34
Gm28755,199,0,1,0,0,1,1,1,0,0,0,0,4,6,0
Gm28756,741,85,58,74,89,80,41,73,73,60,75,58,99,96,70
Crisp4,2737,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb44-ps,219,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb18,258,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Defb41,610,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm17837,985,4,1,2,1,1,2,5,2,2,2,1,3,4,2
Gm29006,580,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm5252,909,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gm24075,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28343,112,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28344,279,0,0,0,0,0,0,0,2,0,0,0,0,0,0
Gm15825,918,13,16,49,33,7,24,29,44,20,35,20,15,24,18
Tfap2d,1954,100,95,212,150,77,106,178,189,110,126,111,95,148,122
AC098736.2,545,0,1,0,1,0,1,1,1,1,0,4,1,1,0
Tfap2b,6338,1159,395,522,534,97,198,785,644,333,517,517,516,422,640
Gm28340,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28341,472,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm4849,2246,19,26,19,25,27,29,38,26,31,29,23,18,37,28
Gm24633,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP24-132H2.1,2499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm25568,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pkhd1,14310,3,4,4,0,4,4,4,0,2,2,4,6,0,4
RP23-245C4.1,3479,10,4,2,2,7,4,5,3,2,6,2,1,11,4
4930486I03Rik,788,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm15795,553,0,0,0,0,0,0,0,0,1,0,3,0,1,0
Gm24162,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mir206,73,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm28653,5276,4,0,0,0,0,1,2,4,0,0,0,0,2,0
Mir133b,119,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17a,1171,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Il17f,2022,5,1,9,2,2,0,4,8,0,4,3,3,4,8
Mcm3,3752,289,167,217,299,259,400,460,382,445,373,367,311,399,283
Gm20587,1186,4,1,0,4,2,3,1,2,0,2,1,2,3,1
Gm28065,833,0,0,0,0,0,0,0,0,0,2,0,0,0,0
Gm24723,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6720483E21Rik,1120,34,21,20,43,24,43,60,52,48,42,52,28,54,26
Paqr8,5488,17932,11246,15701,17462,10031,14241,15793,11954,15422,14669,11971,10804,14929,12633
Gm24171,131,3,1,1,0,1,0,1,1,4,0,0,2,2,2
Gm28064,858,27,13,13,16,13,27,13,7,19,16,14,10,40,24
Efhc1,2208,107,87,93,113,108,196,160,123,135,114,141,56,124,115
Tram2,6661,154,151,132,182,185,218,315,236,220,259,273,150,270,248
Gm28287,546,0,0,0,0,0,2,0,0,0,0,1,0,0,0
Gm2693,571,21,14,18,9,4,18,30,40,15,18,40,8,27,20
Tmem14a,1351,2237,1722,1880,2066,2415,2106,2741,1816,2068,1902,2231,1936,2452,1687
RP23-278E1.4,2100,39,24,41,38,35,32,36,54,38,50,47,20,48,55
Gsta3,4344,129,103,110,145,138,138,193,140,111,128,146,103,163,120
Gm28836,633,2,6,2,15,20,17,16,17,23,13,8,2,9,5
Gm7094,366,21,7,19,16,12,25,7,11,12,20,7,16,25,8
Gm4956,1365,0,0,0,6,0,1,0,0,0,0,2,0,0,0
Gm21909,439,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Khdc1a,1987,1,0,0,0,2,3,2,0,1,0,0,1,3,3
Gm16329,371,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm16327,228,0,0,0,0,0,0,1,0,0,0,0,0,1,0
Khdc1c,1946,0,4,2,4,2,5,3,4,6,9,5,4,4,3
Gm2709,350,0,1,4,0,2,3,0,1,0,6,4,0,0,2
Gm16533,228,0,0,0,0,0,0,0,0,0,1,2,0,0,2
Khdc1b,2236,12,2,3,2,4,0,3,8,8,0,0,3,4,10
Gm16328,196,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Kcnq5,7689,4122,4868,5152,6034,9951,6408,5913,4114,6010,5370,5148,4907,7005,6082
RP24-496H1.1,2327,26,8,4,2,42,4,8,12,9,10,10,6,10,18
Gm7658,1124,306,260,238,237,288,344,421,265,269,248,304,252,343,231
RP23-322P13.2,1567,27,8,14,16,62,2,18,21,17,41,7,15,23,21
Gm26580,2095,292,392,359,441,758,499,368,303,363,400,308,305,494,440
Gm5696,552,0,0,0,0,0,0,1,0,0,0,1,0,0,0
Gm28239,447,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rims1,7080,16535,13088,16857,18236,24181,21311,19972,17420,20364,22372,22965,17831,27400,19235
Gm26866,802,29,13,9,10,8,6,0,10,11,12,14,5,7,10
Gm7761,921,6,1,0,0,0,1,1,1,3,1,2,0,0,0
Gm29506,2078,2,2,7,4,5,0,6,1,2,2,0,5,0,2
4933415F23Rik,1781,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm24176,121,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP23-28L24.5,723,2,3,0,1,1,0,2,0,2,0,0,2,4,3
Mir30a,82,1,3,0,2,2,0,0,2,0,0,0,2,0,1
Gm27028,399,39,15,18,14,36,15,25,16,24,20,9,17,20,31
Mir30c-2,84,7,1,5,0,6,0,0,2,6,2,2,0,5,4
Gm29107,347,2,4,2,2,0,0,2,0,0,0,6,0,1,2
Gm20954,644,0,0,2,0,4,0,0,1,2,2,2,0,0,2
Ogfrl1,8109,13946,10955,12928,16027,12500,16173,16827,12064,15706,13709,14121,13076,18680,13063
Gm7784,989,0,0,0,0,0,0,0,2,0,0,1,0,0,0
Gm28822,778,2,6,4,21,0,10,0,0,3,1,9,5,6,3
B3gat2,6203,5199,4165,5386,6711,5122,5725,6991,4821,6024,5831,5461,4931,7128,5197
Smap1,3575,6376,5212,6681,7850,6531,7219,8629,5986,7611,7052,6502,6023,8916,6539
1110058L19Rik,874,1323,1025,1099,1201,1154,1305,1529,1153,1151,1124,1209,929,1243,1013
RP24-287C19.1,390,306,232,244,294,254,328,398,300,292,273,271,230,281,257
Fam135a,7773,4014,2732,2992,3428,3363,3307,4172,3404,3330,3404,3582,3032,4081,3319
RP23-255J24.2,2800,16,10,17,14,2,10,22,18,8,12,22,13,5,9
Gm26607,867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Col9a1,5068,74,31,39,66,31,48,68,53,63,59,53,41,73,58
Col19a1,6887,1159,914,1338,1439,1242,1215,1231,1119,1184,1459,1259,1095,1714,1502
Gm26418,137,0,2,0,0,0,0,0,0,0,1,0,0,0,0
Tubb4b-ps2,1337,7,10,6,7,7,11,11,5,6,7,9,7,7,13
Gm28439,876,260106,193856,224983,218566,339078,281041,323955,255250,240865,252588,251592,212677,261595,164857
Gm10222,294,64124,47234,54017,52785,80679,68107,71532,59896,58711,59335,61500,49181,61920,40191
Gm28438,345,67299,46885,45456,48217,55990,51752,68623,53091,45163,49062,49691,43051,46605,31747
Gm28437,783,748655,563277,560679,568762,671390,592248,809501,616194,523562,577092,595769,499200,569911,388632
Gm10925,678,596707,434374,479106,439886,582378,504081,656260,495438,433020,466947,483614,424739,483547,339779
Gm28661,681,398565,284002,336702,309443,454518,410866,512608,374502,349174,364581,373014,311259,370635,264384
Gm29216,492,587842,428681,476690,452439,518797,469889,606376,475272,410447,426443,469958,417675,479547,333483
Lmbrd1,5960,16723,12922,14128,16584,15025,15973,20621,13457,16424,15317,15791,14223,19737,15272
Gm28594,661,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Gm28237,1216,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm9443,816,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Gm29414,448,0,0,0,0,0,0,0,0,2,0,0,0,0,0
Bai3,18559,9134,6898,8528,9466,9638,9359,10954,7723,9701,8576,8385,7768,11120,8290
Gm15702,444,9,4,4,0,0,1,5,4,2,4,3,4,10,0
RP23-21P2.4,1551,18,14,5,8,15,8,2,15,11,12,8,8,13,7
Gm22260,107,2,0,2,2,0,2,1,2,0,6,0,0,2,1
